,publishedAt,title,tags,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
147,2021-06-18,"不避中國領空！24萬莫德納疫苗抵台  美國亞太助卿拋與台灣討論""代工疫苗""合作 鍾年晃估配發數量喊話柯市府：這次別再說突襲│廖筱君主持│【新台灣加油 完整版】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '中國', '領空', '莫德納疫苗', '美國', '亞太助卿', '代工疫苗', '柯市府', '突襲']",三立LIVE新聞,59508,609,130,0,207
148,2021-06-18,"觀光旅遊受疫情衝擊！業者拋""國內旅行泡泡""自救 憂""篩陰證明有疑慮""│記者 古芙仙 朱俊傑 涂永全│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '觀光', '旅遊', '疫情', '衝擊', '旅行泡泡', '篩陰證明']",三立LIVE新聞,2870,7,19,0,16
149,2021-06-18,"AZ疫苗開打後累計已42人猝死！AZ疫苗""無華人臨床試驗"" 長者接種猝死究因 醫師曝施打疫苗恐只是間接因素│記者 吳幸樺 王群賀│【新聞深一度】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', 'AZ疫苗', '猝死', '接種', '長者', '間接因素', '慢性病']",三立LIVE新聞,11829,52,28,0,112
150,2021-06-18,"球后戴姿穎阿嬤也呼籲一定要來打！99歲高雄大寮阿嬤打完AZ疫苗後喊""能走能作菜"":接種後精神狀況很好│記者 古芙仙 田居達│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '高雄', '大寮', '球后', '戴姿穎']",三立LIVE新聞,4998,31,9,0,7
151,2021-06-18,"憲哥快篩買貴了嗎？砸3千萬買11萬劑 藥師曝快篩""價差大"" 官方採購""半價""│記者 張珈瑄 唐薏程│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '憲哥', '快篩', '藥師', '價差', '官方', '採購', '半價']",三立LIVE新聞,2045,5,20,0,6
152,2021-06-18,"台中后里長照機構遭疑""踩紅線""！爆替""未來員工""打疫苗 機構負責人稱：獲允可行│記者 張峻棟 陳政棟 王子瑜│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '台中', '后里', '長照機構', '踩紅線', '未來員工', '疫苗', '機構負責人']",三立LIVE新聞,1170,3,5,0,1
153,2021-06-18,"換冷氣冷媒卻突爆炸！冷氣工人""雙眼嚴重灼傷""...老師傅揭兩關鍵恐釀災│記者 蔡文淵 陳逸潔 沈明志│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '冷氣', '冷媒', '爆炸', '冷氣工人', '灼傷', '師傅']",三立LIVE新聞,13227,31,2,0,14
154,2021-06-18,"外媒直擊高端疫苗生產線！CNN記者喊感到""動力十足"" 國產疫苗可信度遭質疑 總經理陳燦堅:數據試驗都透明│記者 陳淮安│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '疫苗', '高端', 'CNN', '陳燦堅', '國產']",三立LIVE新聞,7480,72,43,0,57
155,2021-06-18,"#三立獨家 太傻眼！網購酒精噴霧槍竟變""玩具水槍"" 遭賣家封鎖求助無門 理化老師提醒""滅菌紫外線""勿照人體恐造成病變│記者 張哲豪 鄭遠龍│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '網購', '酒精噴霧槍', '玩具水槍', '賣家', '封鎖', '求助', '滅菌紫外線', '病變']",三立LIVE新聞,11254,43,3,0,11
156,2021-06-18,"美國.德國當推手！台積電獲台灣政府授權談BNT疫苗 晶圓+代工龍頭 台積電.鴻海聯手組""購苗國家隊""│記者 程彥豪 方柏丰│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '台積電', '鴻海', '授權', 'BNT', '晶圓', '代工', '龍頭', '國家隊']",三立LIVE新聞,11698,128,10,0,115
157,2021-06-18,"看不到未來...老闆哭了！餐飲""禁止內用""未解禁 不捨員工因疫情嘸頭路 業者落淚:看不到盡頭...│記者 黃大衛 胡時瑛 李承諺│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '餐飲', '工作', '賠錢', '禁止內用', '解禁']",三立LIVE新聞,33702,137,21,0,157
158,2021-06-18,"嚇死人！控運將繞路要求停車更試圖攻擊 後竟大膽當街""劫車""逃竄3縣市 警方沿線調監視器9小時內成功逮嫌│記者 洪琮翔 孟國華│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '運將', '繞路', '停車', '拒付車資', '劫車', '監視器']",三立LIVE新聞,1906,10,3,0,0
159,2021-06-18,"傻眼...這是補助還是施捨？護理師po文控防疫慰勞""只給60元""！護理師公會澄清""會員關懷""3萬均分1人60元│記者 王紹宇 朱俊傑 朱怡蓉│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '補助', '護理師', '公會', '會員關懷', '均分', '60元']",三立LIVE新聞,2306,8,2,0,5
160,2021-06-18,"看完覺得心超暖！""高雄好家載""短片8萬人點閱 68秒短片不打""政策宣導"" 以日常生活貼近人心 作家讚:拍得溫暖│記者 胡時瑛 李承諺│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '高雄好家載', '日常生活', '暖心', '溫暖']",三立LIVE新聞,7923,134,9,0,4
161,2021-06-18,"火線救援！基隆正濱漁港""火燒船""現場更傳出爆炸聲 警消民眾合力拉船搶救│記者 林俊華 羅珮瑜│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '救援', '基隆', '正濱漁港', '火燒船', '警消', '拉船']",三立LIVE新聞,951,5,3,0,0
162,2021-06-18,"紓困4.0預算三讀通過！國民黨""普發現金""遭否決 原2600億遭刪5.01億│記者 莊惠琪 游家瑋│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '紓困4.0', '預算', '三讀', '國民黨', '普發現金', '否決']",三立LIVE新聞,9151,56,17,0,79
163,2021-06-18,"#三立獨家 剛滿百歲...人瑞接種完疫苗隔天身亡""生日成忌日"" 曝申請相驗竟遭衛生所.警方互踢皮球？！│記者 王韻筑 王家珩 江文賢│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '百歲人瑞', '疫苗', '生日', '忌日', '相驗', '衛生所', '警方', '踢皮球']",三立LIVE新聞,24771,96,18,0,145
164,2021-06-18,"AZ疫苗擴大施打！全台累計逾""40人""接種後死亡...陳時中稱：願相驗解剖將發放30萬慰問金│記者 曾佳萱 林煜哲│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', 'AZ疫苗', '施打', '接種', '死亡', '陳時中', '相驗解剖', '慰問金']",三立LIVE新聞,867,1,6,0,5
165,2021-06-18,"多次採檢""陰轉陽""！長照機構再增4確診 啟動高密集追蹤阻傳播鏈擴散│記者 林俊華 洪儀婷│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '採檢', '長照機構', '確診', '高密集追蹤', '傳播鏈']",三立LIVE新聞,677,3,1,0,2
166,2021-06-18,"採""三方模式""買疫苗？！裕利頻遭點名""低調否認"" 專家分析：需考量中國因素 柯建銘意外曝郭台銘購買疫苗金額要價...│記者 張硯卿 蕭宇志│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '三方模式', '疫苗', '裕利', '低調', '否認', '專家分析', '中國', '柯建銘', '郭台銘', '疫苗金額']",三立LIVE新聞,1338,4,10,0,6
167,2021-06-18,政府大開綠燈！行政院授權鴻海.台積電代表政府採購千萬劑BNT疫苗 蔡英文總統與郭台銘.劉德音府內會談│記者 朱淑君 葛子綱│【LIVE大現場】20210618│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '政府', '行政院', '授權', '鴻海', '台積電', 'BNT疫苗', '總統', '郭台銘', '劉德音', '府內會談']",三立LIVE新聞,2309,26,8,0,21
168,2021-06-18,新增187例本土.21例死亡！長者疫苗開打各地頻傳死亡通報 指揮中心揭數據：我國死亡率較南韓低│記者 林昆慶 王承偉│【LIVE大現場】20210618│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '本土', '死亡', '長者疫苗', '死亡通報', '指揮中心', '數據']",三立LIVE新聞,2196,14,8,0,2
169,2021-06-18,第二批24萬劑莫德納來了！保存期限至12/15 近日41萬劑將接力抵達台灣 疫苗可望向下施打│記者 陳宥蓉 簡宏圻 胡克強│【LIVE大現場】20210618│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '莫德納', '保存期限', '接力', '向下施打']",三立LIVE新聞,1840,18,1,0,4
170,2021-06-18,73歲雷洪像尾活龍　全國首支國家認證漢方「股立補」顧骨｜三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲']",三立LIVE新聞,1310,6,4,0,0
171,2021-06-18,"花蓮崇德群聚案再新增一人染疫！指標個案婦人的二女婿也確診 花蓮縣府啟動""四村快篩站""聯防疫情擴散│記者 呂彥 洪儀婷│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '崇德', '群聚', '花蓮', '四村快篩站']",三立LIVE新聞,1904,13,2,0,0
172,2021-06-18,"「搞得我們兩兄弟這麼忙」這個勸世文也太有哏！12尊神將""戴口罩""曬日光浴 其中兩尊是七爺八爺 防疫勸世文引共鳴│記者 廖宜德│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '雲林', '防疫', '勸世文', '七爺', '八爺', '口罩', '日光浴', '神像']",三立LIVE新聞,7539,61,4,0,15
173,2021-06-18,救人的反被救！救護車疑為閃車自撞分隔島翻覆 造成車上四人輕傷 疑救護車駕駛車速太快釀禍│記者 陳逸潔 吳伊哲 李建瑩│【LIVE大現場】20210618│三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '台中', '救護車', '自撞', '護欄', '翻覆']",三立LIVE新聞,4131,17,3,0,24
174,2021-06-18,"鐵工施工不慎引發""連環燒""！六合夜市主委""兩棟房子受損""損失上千萬 鐵工遭判拘役50天 主委怒喊:不能接受│記者 連冠智 朱怡蓉│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '高雄', '六合夜市', '主委', '鐵工', '連環燒', '失火', '賠償']",三立LIVE新聞,19453,54,7,0,30
175,2021-06-18,"梅雨鋒又要來了！""典型梅雨鋒""下週二襲台 中南部雨勢逐日增大 梅雨影響時間長！恐一路""徘徊至月底""│氣象老大吳德榮│【三立準氣象】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '梅雨', '鋒面', '典型', '中南部', '雨勢', '降雨', '月底', '氣象老大', '吳德榮', '準氣象']",三立LIVE新聞,37141,259,21,0,11
176,2021-06-18,"[一刀未剪]高雄""嘉玲""又回來了！12天僅增2例 陳其邁：社區相對安全 風險在""南北移動"" 長者後悔不敢打疫苗 市長:隨時想補打都可以│【焦點人物大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '高雄', '嘉玲', '本土', '零確診', '陳其邁', '市長', '南北', '移動', '補打', '疫苗', '後悔', '第二波', '接種']",三立LIVE新聞,14548,233,17,0,85
177,2021-06-18,"行政院正式授權鴻海.台積電代表台灣洽購BNT疫苗 台積電不聲張6/10申請今日才曝光""無條件且不保留""全捐政府 郭董八點聲明｜許貴雅主持｜【前進新台灣 完整版】20210618｜三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲']",三立LIVE新聞,52298,482,106,0,275
178,2021-06-18,機場直擊! 24萬劑莫德納今抵台 下批41萬劑數日內接力到 | 【直播回放】20210618| 三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '莫德納', '機場', '疫苗', '華航', '現場', '生放送']",三立LIVE新聞,55752,597,25,0,66
179,2021-06-18,#三立最新 24萬劑莫德納疫苗抵台！ 食藥署查核冷鏈.樣品抽取將趕進度檢核封緘 美75萬劑莫德納估月底前送達｜記者 陳宥蓉｜【LIVE大現場】20210618｜三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '華航', '莫德納', '台灣', '美國']",三立LIVE新聞,37918,329,141,0,330
180,2021-06-18,"再增71例本土！北市啟動""清零""計畫 將把人力用在""已確診者為中心""做疫調 對於診所籲設置""候補機制""防多餘疫苗被丟掉 柯P:請按照政府原則 ｜【直播回放】20210618｜三立LIVE新聞","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '武漢肺炎', 'covid-19', '北市', '本土', '清零', '計畫', '快篩', '陽性']",三立LIVE新聞,5025,20,35,0,5
181,2021-06-18,國內買疫苗卡關突破！ 行政院緊急授權鴻海.台積電代表政府採購BNT疫苗 蔡英文總統16:00將會面郭台銘.劉德音｜主播 黃家緯｜【新聞16說清楚】20210618｜三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '行政院', '台積電', '郭台銘', '授權']",三立LIVE新聞,12653,117,15,0,79
182,2021-06-18,#三立最新 24萬劑莫德納疫苗將抵台！ 華航CI-5556貨機不避中國領空直衝奔台 美捐贈75萬劑莫德納估月底前送達｜記者 陳宥蓉｜【LIVE大現場】20210618｜三立新聞台,"['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '華航', '莫德納', '台灣', '美國']",三立LIVE新聞,4260,40,2,0,18
183,2021-06-18,"受疫情衝擊！高雄庇護工廠一日僅收""300元"" 業者為店內身障.中高齡員工苦撐...│記者 黃大衛 朱怡蓉│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '疫情', '衝擊', '高雄', '庇護工廠', '身障', '中高齡員工', '苦撐']",三立LIVE新聞,4195,17,1,0,7
184,2021-06-18,"九蛙終於喝到水！日月潭蓄水量飆破84% 曝再往上2.5公尺即可達""滿水位""│記者 吳崑榆│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '九蛙', '日月潭', '蓄水量', '滿水位']",三立LIVE新聞,8573,54,4,0,13
185,2021-06-18,"網路瘋傳""周五天劫日""！喊作法收瘟神要求信眾""別穿黑衣服"" 廟方駁斥：無此作法│主播 黃家緯│【LIVE大現場】20210618│三立新聞台","['三立新聞', '最新消息', 'LIVE', '三立iNEWS', '三立', '新聞', '直播', '網路直播', '最新', '即時', '新聞快訊', '蔡英文', '習近平', '蘇貞昌', '韓國瑜', '馬英九', '江啟臣', '柯文哲', '網路', '天劫日', '瘟神', '信眾']",三立LIVE新聞,2680,17,0,0,5
